category,company,domain
Aerospace,Astranis,astranis.com
Aerospace,Blueorigin,blueorigin.com
Aerospace,Bombardier,bombardier.com
Aerospace,Caes,caes.com
Aerospace,Collins Aerospace,collinsaerospace.com
Aerospace,Dassault Aviation,dassault-aviation.com
Aerospace,Embraer,embraer.com
Aerospace,Frontgrade Technologies,frontgrade.com
Aerospace,GE Aerospace,geaerospace.com
Aerospace,GKN Aerospace,gknaerospace.com
Aerospace,Intelsat,intelsat.com
Aerospace,Iridium,iridium.com
Aerospace,Maxar,maxar.com
Aerospace,MTU Aero Engines,mtu.de
Aerospace,Planet,planet.com
Aerospace,Pratt & Whitney,prattwhitney.com
Aerospace,Redwirespace,redwirespace.com
Aerospace,Relativityspace,relativityspace.com
Aerospace,Rocketlabusa,rocketlabusa.com
Aerospace,Rolls-Royce,rolls-royce.com
Aerospace,Safran,safran-group.com
Aerospace,Ses,ses.com
Aerospace,Sierraspace,sierraspace.com
Aerospace,Spacex,spacex.com
Aerospace,Spirit AeroSystems,spiritaero.com
Aerospace,Terranorbital,terranorbital.com
Aerospace,Viasat,viasat.com
ASIC,Alchip,alchip.com
ASIC,Alphawavesemi,alphawavesemi.com
ASIC,eInfochips (An Arrow Company),einfochips.com
ASIC,Faraday-tech,faraday-tech.com
ASIC,GUC,guc-asic.com
ASIC,Socionext,socionext.com
ASIC,Sondrel,sondrel.com
Automotive,Aisin,aisin.com
Automotive,Aptiv,aptiv.com
Automotive,Autoliv,autoliv.com
Automotive,BMW,bmwgroup.com
Automotive,Borgwarner,borgwarner.com
Automotive,Bosch,bosch.com
Automotive,Continental,continental.com
Automotive,Denso,denso.com
Automotive,Ford,ford.com
Automotive,Forvia,forvia.com
Automotive,Garrett Motion,garrettmotion.com
Automotive,Gm,gm.com
Automotive,Harman,harman.com
Automotive,Hella,hella.com
Automotive,Honda,honda.com
Automotive,Hyundai,hyundai.com
Automotive,Hyundai Mobis,mobis.com
Automotive,Lear,lear.com
Automotive,Lucidmotors,lucidmotors.com
Automotive,Luminar,luminartech.com
Automotive,Magna,magna.com
Automotive,Mahle,mahle.com
Automotive,Marelli,marelli.com
Automotive,Mercedes Benz,mercedes-benz.com
Automotive,Nissan,nissan-global.com
Automotive,Rivian,rivian.com
Automotive,Schaeffler,schaeffler.com
Automotive,Sensata Technologies,sensata.com
Automotive,Stellantis,stellantis.com
Automotive,Tesla,tesla.com
Automotive,Toyota,toyota.com
Automotive,Valeo,valeo.com
Automotive,Veoneer,veoneer.com
Automotive,Volkswagen,volkswagen.com
Automotive,Yazaki,yazaki-group.com
Automotive,ZF,zf.com
Components,Amphenol,amphenol.com
Components,Bel Fuse,belfuse.com
Components,Bourns,bourns.com
Components,Hirose,hirose.com
Components,KEMET,kemet.com
Components,Knowles,knowles.com
Components,Kyocera,kyocera.com
Components,Littelfuse,littelfuse.com
Components,Molex,molex.com
Components,Murata,murata.com
Components,Nichicon,nichicon.com
Components,Nippon Chemi-Con,chemi-con.co.jp
Components,Rubycon,rubycon.co.jp
Components,Samsung Electro-Mechanics,samsungsem.com
Components,Samtec,samtec.com
Components,Taiyo Yuden,yuden.co.jp
Components,TDK,tdk.com
Components,TE Connectivity,te.com
Components,Wurth Elektronik,we-online.com
Components,Yageo,yageo.com
